input_url                   , video_id  , title                                                                                  , license , delivery   , variant   , codec                         , width, height, fps   , bitrate_kbps, bandwidth_bps, source_url                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , error
https://vimeo.com/1078990193, 1078990193, Lauren - Moisturizer                                                                   ,         , dash       , 2160p     , avc1.640034                   ,  3840,   2160, 24    ,        11777,      11777000, https://vod-adaptive-ak.vimeocdn.com/exp=1779673076~acl=%2Fc1ad21df-5769-4955-96fe-a9062c68c29b%2Fpsid%3D6b173a6350663c8805644e8fa3b6dec1c2ad975f1779669476%2F%2A~hmac=ebf67a30c6af83ce3de42553f943eca24f341dc97a4fc0d37522d7fb18d1366f/c1ad21df-5769-4955-96fe-a9062c68c29b/psid=6b173a6350663c8805644e8fa3b6dec1c2ad975f1779669476/v2/playlist/av/primary/prot/cXNyPTE/playlist.mpd?locale=en-US&omit=opus&pathsig=8c953e4f~nzOV9o-32ghvrYIBvAs1SkxgpB44DCw183B_IXW5Rbw&qsr=1&r=dXM%3D&rh=1dWMsV                                              , 
https://vimeo.com/1078990193, 1078990193, Lauren - Moisturizer                                                                   ,         , dash       , 1440p     , avc1.640033                   ,  2560,   1440, 24    ,         5517,       5517000, https://vod-adaptive-ak.vimeocdn.com/exp=1779673076~acl=%2Fc1ad21df-5769-4955-96fe-a9062c68c29b%2Fpsid%3D6b173a6350663c8805644e8fa3b6dec1c2ad975f1779669476%2F%2A~hmac=ebf67a30c6af83ce3de42553f943eca24f341dc97a4fc0d37522d7fb18d1366f/c1ad21df-5769-4955-96fe-a9062c68c29b/psid=6b173a6350663c8805644e8fa3b6dec1c2ad975f1779669476/v2/playlist/av/primary/prot/cXNyPTE/playlist.mpd?locale=en-US&omit=opus&pathsig=8c953e4f~nzOV9o-32ghvrYIBvAs1SkxgpB44DCw183B_IXW5Rbw&qsr=1&r=dXM%3D&rh=1dWMsV                                              , 
https://vimeo.com/1078990193, 1078990193, Lauren - Moisturizer                                                                   ,         , dash       , 1080p     , avc1.64002A                   ,  1920,   1080, 24    ,         3328,       3328000, https://vod-adaptive-ak.vimeocdn.com/exp=1779673076~acl=%2Fc1ad21df-5769-4955-96fe-a9062c68c29b%2Fpsid%3D6b173a6350663c8805644e8fa3b6dec1c2ad975f1779669476%2F%2A~hmac=ebf67a30c6af83ce3de42553f943eca24f341dc97a4fc0d37522d7fb18d1366f/c1ad21df-5769-4955-96fe-a9062c68c29b/psid=6b173a6350663c8805644e8fa3b6dec1c2ad975f1779669476/v2/playlist/av/primary/prot/cXNyPTE/playlist.mpd?locale=en-US&omit=opus&pathsig=8c953e4f~nzOV9o-32ghvrYIBvAs1SkxgpB44DCw183B_IXW5Rbw&qsr=1&r=dXM%3D&rh=1dWMsV                                              , 
https://vimeo.com/1078990193, 1078990193, Lauren - Moisturizer                                                                   ,         , dash       , 720p      , avc1.640020                   ,  1280,    720, 24    ,         1465,       1465000, https://vod-adaptive-ak.vimeocdn.com/exp=1779673076~acl=%2Fc1ad21df-5769-4955-96fe-a9062c68c29b%2Fpsid%3D6b173a6350663c8805644e8fa3b6dec1c2ad975f1779669476%2F%2A~hmac=ebf67a30c6af83ce3de42553f943eca24f341dc97a4fc0d37522d7fb18d1366f/c1ad21df-5769-4955-96fe-a9062c68c29b/psid=6b173a6350663c8805644e8fa3b6dec1c2ad975f1779669476/v2/playlist/av/primary/prot/cXNyPTE/playlist.mpd?locale=en-US&omit=opus&pathsig=8c953e4f~nzOV9o-32ghvrYIBvAs1SkxgpB44DCw183B_IXW5Rbw&qsr=1&r=dXM%3D&rh=1dWMsV                                              , 
https://vimeo.com/1078990193, 1078990193, Lauren - Moisturizer                                                                   ,         , dash       , 540p      , avc1.64001F                   ,   960,    540, 24    ,          874,        874000, https://vod-adaptive-ak.vimeocdn.com/exp=1779673076~acl=%2Fc1ad21df-5769-4955-96fe-a9062c68c29b%2Fpsid%3D6b173a6350663c8805644e8fa3b6dec1c2ad975f1779669476%2F%2A~hmac=ebf67a30c6af83ce3de42553f943eca24f341dc97a4fc0d37522d7fb18d1366f/c1ad21df-5769-4955-96fe-a9062c68c29b/psid=6b173a6350663c8805644e8fa3b6dec1c2ad975f1779669476/v2/playlist/av/primary/prot/cXNyPTE/playlist.mpd?locale=en-US&omit=opus&pathsig=8c953e4f~nzOV9o-32ghvrYIBvAs1SkxgpB44DCw183B_IXW5Rbw&qsr=1&r=dXM%3D&rh=1dWMsV                                              , 
https://vimeo.com/1078990193, 1078990193, Lauren - Moisturizer                                                                   ,         , dash       , 360p      , avc1.64001E                   ,   640,    360, 24    ,          475,        475000, https://vod-adaptive-ak.vimeocdn.com/exp=1779673076~acl=%2Fc1ad21df-5769-4955-96fe-a9062c68c29b%2Fpsid%3D6b173a6350663c8805644e8fa3b6dec1c2ad975f1779669476%2F%2A~hmac=ebf67a30c6af83ce3de42553f943eca24f341dc97a4fc0d37522d7fb18d1366f/c1ad21df-5769-4955-96fe-a9062c68c29b/psid=6b173a6350663c8805644e8fa3b6dec1c2ad975f1779669476/v2/playlist/av/primary/prot/cXNyPTE/playlist.mpd?locale=en-US&omit=opus&pathsig=8c953e4f~nzOV9o-32ghvrYIBvAs1SkxgpB44DCw183B_IXW5Rbw&qsr=1&r=dXM%3D&rh=1dWMsV                                              , 
https://vimeo.com/1078990193, 1078990193, Lauren - Moisturizer                                                                   ,         , dash       , 240p      , avc1.640015                   ,   426,    240, 24    ,          249,        249000, https://vod-adaptive-ak.vimeocdn.com/exp=1779673076~acl=%2Fc1ad21df-5769-4955-96fe-a9062c68c29b%2Fpsid%3D6b173a6350663c8805644e8fa3b6dec1c2ad975f1779669476%2F%2A~hmac=ebf67a30c6af83ce3de42553f943eca24f341dc97a4fc0d37522d7fb18d1366f/c1ad21df-5769-4955-96fe-a9062c68c29b/psid=6b173a6350663c8805644e8fa3b6dec1c2ad975f1779669476/v2/playlist/av/primary/prot/cXNyPTE/playlist.mpd?locale=en-US&omit=opus&pathsig=8c953e4f~nzOV9o-32ghvrYIBvAs1SkxgpB44DCw183B_IXW5Rbw&qsr=1&r=dXM%3D&rh=1dWMsV                                              , 
https://vimeo.com/1078990193, 1078990193, Lauren - Moisturizer                                                                   ,         , dash       , audio only, mp4a.40.2                     ,      ,       ,       ,          196,        196000, https://vod-adaptive-ak.vimeocdn.com/exp=1779673076~acl=%2Fc1ad21df-5769-4955-96fe-a9062c68c29b%2Fpsid%3D6b173a6350663c8805644e8fa3b6dec1c2ad975f1779669476%2F%2A~hmac=ebf67a30c6af83ce3de42553f943eca24f341dc97a4fc0d37522d7fb18d1366f/c1ad21df-5769-4955-96fe-a9062c68c29b/psid=6b173a6350663c8805644e8fa3b6dec1c2ad975f1779669476/v2/playlist/av/primary/prot/cXNyPTE/playlist.mpd?locale=en-US&omit=opus&pathsig=8c953e4f~nzOV9o-32ghvrYIBvAs1SkxgpB44DCw183B_IXW5Rbw&qsr=1&r=dXM%3D&rh=1dWMsV                                              , 
https://vimeo.com/1078990193, 1078990193, Lauren - Moisturizer                                                                   ,         , hls        , 2160p     , avc1.640034                   ,  3840,   2160, 24    ,         9919,       9919000, https://vod-adaptive-ak.vimeocdn.com/exp=1779673076~acl=%2Fc1ad21df-5769-4955-96fe-a9062c68c29b%2Fpsid%3D5255576db6c8f37bd032a9221d24f9b8327a3a5b1779669476%2F%2A~hmac=32340cb2a6f625ffe6b50dbd5a7235c7f8adce272ddfdec52f1ffa2c944118a1/c1ad21df-5769-4955-96fe-a9062c68c29b/psid=5255576db6c8f37bd032a9221d24f9b8327a3a5b1779669476/v2/playlist/av/primary/prot/cXNyPTE/playlist.m3u8?locale=en-US&omit=opus&pathsig=8c953e4f~8UBWMxDUfcl1jc_SpDs-KcB07yJsV50RJO21c5wjfLo&qsr=1&r=dXM%3D&rh=1dWMsV&sf=fmp4                                     , 
https://vimeo.com/1078990193, 1078990193, Lauren - Moisturizer                                                                   ,         , hls        , 2160p     , avc1.640034                   ,  3840,   2160, 24    ,         9919,       9919000, https://vod-adaptive-ak.vimeocdn.com/exp=1779673075~acl=%2Fc1ad21df-5769-4955-96fe-a9062c68c29b%2Fpsid%3D53b96e033726091128b4b97d26f96924195f27c01779669475%2F%2A~hmac=8a705abfb68ba9e5bb9b8631b76f5bafb8268e103aa4496db28484c4c242ebe8/c1ad21df-5769-4955-96fe-a9062c68c29b/psid=53b96e033726091128b4b97d26f96924195f27c01779669475/v2/playlist/av/primary/prot/cXNyPTE/playlist.m3u8?locale=en-US&omit=opus&pathsig=8c953e4f~8UBWMxDUfcl1jc_SpDs-KcB07yJsV50RJO21c5wjfLo&qsr=1&r=dXM%3D&rh=1dWMsV&sf=fmp4                                     , 
